Category,Order,Product,Code,Entity,Code,Team Type,Code,Team,Code,Season,Year,Type,Code,Style,Code,Release,Order,Competition,Code,Country,Code,Confederation,Code,Technology,Order,Brand,Code,Collaboration,Size,Order,Sleeves,Order,Person,Nameset,Order,Patch,Variant,Signed By,Packaging,Order
,,,,,,,,Cameroon,CAM,Clausura 2017,2017,02,7982-08,Training Boot,120,,,Serie A,SER,New Zealand,NZE,,,,,Third-Party,THI,,,,,,Jorge Pietrasanta,,,,,,,
,,,,,,,,Canada,CAN,2017,2017,01,7982-09,,,,,Soccer Aid,SOC,Nigeria,NIG,,,,,Umbro,UMB,,,,,,José Saturnino Cardozo,,,,,,,
,,,,,,,,CD Veracruz,VCZ,2016-17,2016,04,7983-06,,,,,Süper Lig,SUP,Norway,NOR,,,,,Under Armour,UND,,,,,,Juan Dosal,,,,,,,
,,,,,,,,CF Pachuca,PAC,2016,2016,01,7983-09,,,,,UEFA Champions League,CHA,Portugal,POR,,,,,,,,,,,,Julian Brandt,,,,,,,
,,,,,,,,Club Brugge,BRU,2015-16,2015,04,7984-06,,,,,UEFA Europa League,EUR,Russia,RUS,,,,,,,,,,,,Julian Weigl,,,,,,,
,,,,,,,,Club de Cuervos,CUE,2015,2015,01,7984-09,,,,,,,Scotland,SCO,,,,,,,,,,,,Jürgen Klinsmann,,,,,,,
,,,,,,,,Club Puebla,PUE,2014-15,2014,04,7985-06,,,,,,,Senegal,SEN,,,,,,,,,,,,Jürgen Klopp,,,,,,,
,,,,,,,,Croatia,CRO,2014,2014,01,7985-09,,,,,,,Serbia,SER,,,,,,,,,,,,Kevin Großkreutz,,,,,,,
,,,,,,,,Czech Republic,CZE,2013-14,2013,04,7986-06,,,,,,,Slovenia,SLO,,,,,,,,,,,,Leonardo Fernández,,,,,,,
,,,,,,,,Denmark,DEN,2013,2013,01,7986-09,,,,,,,South Korea,SKO,,,,,,,,,,,,Lionel Messi,,,,,,,
,,,,,,,,Deportivo Toluca,TOL,2012-13,2012,04,7987-06,,,,,,,Spain,SPA,,,,,,,,,,,,Luis Donaldo Hernández,,,,,,,
,,,,,,,,Deportivo Toluca | Atlético Madrid,MTC,2012,2012,01,7987-09,,,,,,,Sweden,SWE,,,,,,,,,,,,Luis Garcia Palomera,,,,,,,
,,,,,,,,Deportivo Toluca | Bayer 04 Leverkusen,MTC,2011-12,2011,04,7988-06,,,,,,,Switzerland,SWI,,,,,,,,,,,,Łukasz Piszczek,,,,,,,
,,,,,,,,Deportivo Toluca | CA San Lorenzo,MTC,2010-11,2010,04,7989-06,,,,,,,Turkey,TUR,,,,,,,,,,,,Łukasz Piszczek | Jakub Błaszczykowski,,,,,,,
,,,,,,,,Deportivo Toluca | CD Veracruz,MTC,Apertura 2010,2010,03,7989-07,,,,,,,USA,USA,,,,,,,,,,,,Marcel Ruiz,,,,,,,
,,,,,,,,Deportivo Toluca | Club Puebla,MTC,2010,2010,01,7989-09,,,,,,,Wales,WAL,,,,,,,,,,,,Marcel Schmelzer,,,,,,,
,,,,,,,,Deportivo Toluca | Santos Laguna,MTC,2002,2002,01,7997-09,,,,,,,,,,,,,,,,,,,,Marco Reus,,,,,,,
,,,,,,,,England,ENG,Invierno 2001,2001,03,7998-07,,,,,,,,,,,,,,,,,,,,Mario Götze,,,,,,,
,,,,,,,,Everton de Viña del Mar,EVM,Verano 1998,1998,02,8001-08,,,,,,,,,,,,,,,,,,,,Raúl González Blanco,,,,,,,
,,,,,,,,FC Barcelona,FCB,1998,1998,01,8001-09,,,,,,,,,,,,,,,,,,,,Richard Ruíz,,,,,,,
,,,,,,,,FC Porto,PCP,1996-97,1996,04,8003-06,,,,,,,,,,,,,,,,,,,,Rodrigo Salinas,,,,,,,
,,,,,,,,FC St. Pauli,PAU,1996,1996,01,8003-09,,,,,,,,,,,,,,,,,,,,Ronaldo,,,,,,,
,,,,,,,,FC Versailles,VER,1995-96,1995,04,8004-06,,,,,,,,,,,,,,,,,,,,Santiago García,,,,,,,
,,,,,,,,France,FRA,1994-95,1994,04,8005-06,,,,,,,,,,,,,,,,,,,,Shinji Okazaki,,,,,,,
,,,,,,,,Galatasaray,GAL,1966-67,1966,04,8033-06,,,,,,,,,,,,,,,,,,,,Sinha,,,,,,,
,,,,,,,,Genoa CFC,GEN,1913,1913,01,8086-09,,,,,,,,,,,,,,,,,,,,Sinha | Francisco Suinaga,,,,,,,
,,,,,,,,Germany,GER,-,0000,00,9999-10,,,,,,,,,,,,,,,,,,,,Stefan Kießling,,,,,,,
,,,,,,,,Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,Usain Bolt,,,,,,,
,,,,,,,,Greenland,GRE,,,,,,,,,,,,,,,,,,,,,,,,William Fernando da Silva,,,,,,,
,,,,,,,,Iceland,ICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Inter Miami,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Inter Milan,INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ivory Coast,IVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Jaguares de Chiapas,JAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Japan,JAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juventus FC,JUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leicester City,LEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liverpool FC,LIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Liverpool FC | Borussia Dortmund,MTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Lobos BUAP,LOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Los Angeles FC,LAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Manchester City,MCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Manchester United,MUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Mexico | Bermuda,MTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MLS All-Stars,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,New Zealand,NZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Nigeria,NIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Olympique Lyonnais,LYO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Paris Saint-Germain,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Parma Calcio,PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PIO FC,PIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PSV,PSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Querétaro,QUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rayados Monterrey,MON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RB Leipzig,LPZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Real Betis,BET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Real Madrid,RMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,River Plate,RIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Russia,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Santos Laguna,SAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SC Bastia,BAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Scotland,SCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Serbia,SER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Slovenia,SLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Soccer Aid World XI,SOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,South Korea,SKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spain,SPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SS Lazio,LAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SSC Napoli,NAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sweden,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Switzerland,SWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tottenham Hotspur,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Union Berlin,UBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Venezia FC,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Wales,WAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,West Ham United,WHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Wrexham,WRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
