Artist,Code,Packaging,Order,Category,Order,Product,Code,Configuration,Order,Signed By,Format,Code,Style,Order,Color,Order,Genre,Order,Label,Order
Rüfüs Du Sol,RÜFÜ,,,,,,,,,,,,,,,,,,PRMD | Universal Music Group,
Said The Sky,SAID,,,,,,,,,,,,,,,,,,ProLogic | Sony Music | Armada Music,
San Holo,SANH,,,,,,,,,,,,,,,,,,RCA,
Seven Lions,SEVE,,,,,,,,,,,,,,,,,,RCA | Sony Music,
Skrillex,SKRI,,,,,,,,,,,,,,,,,,Release Records,
Sub Zero Project,SUBZ,,,,,,,,,,,,,,,,,,Republic Records,
Swedish House Mafia,SWED,,,,,,,,,,,,,,,,,,Revealed Recordings | Cloud 9 Dance,
The Midnight,THEM,,,,,,,,,,,,,,,,,,Rose Avenue | Reprise Records,
Third Party,THIR,,,,,,,,,,,,,,,,,,Seeking Blue,
Tritonal,TRIT,,,,,,,,,,,,,,,,,,Sony Music | Armada Music,
UFO95,UFO9,,,,,,,,,,,,,,,,,,Sony Music | Dance Floor,
Various,VARI,,,,,,,,,,,,,,,,,,Sony Music | RCA | Ultra Music,
Vicetone,VICE,,,,,,,,,,,,,,,,,,Sweat It Out! | Leisurely,
,,,,,,,,,,,,,,,,,,,Text Records,
,,,,,,,,,,,,,,,,,,,This Never Happened,
,,,,,,,,,,,,,,,,,,,Ultra Music | Sony Music,
,,,,,,,,,,,,,,,,,,,Universal Music Group,
,,,,,,,,,,,,,,,,,,,Universal Music Group | Avicii Recordings AB,
,,,,,,,,,,,,,,,,,,,Universal Music Group | EMI,
,,,,,,,,,,,,,,,,,,,"Universal Music Group México, S.A. de C.V.",
,,,,,,,,,,,,,,,,,,,Warner Music,
,,,,,,,,,,,,,,,,,,,WeAreOne.World,
,,,,,,,,,,,,,,,,,,,Young,
